season_start,gameweek,date,team_home,team_away,fulltime_goals_form_home,fulltime_goals_conceeded_form_home,halftime_goals_form_home,halftime_goals_conceeded_form_home,shots_form_home,opposition_shots_form_home,shots_on_target_form_home,opposition_shots_on_target_form_home,fouls_form_home,opposition_fouls_form_home,corners_form_home,opposition_corners_form_home,yellow_cards_form_home,opposition_yellow_cards_form_home,red_cards_form_home,opposition_red_cards_form_home,fulltime_goals_total_home,fulltime_goals_conceeded_total_home,halftime_goals_total_home,halftime_goals_conceeded_total_home,shots_total_home,opposition_shots_total_home,shots_on_target_total_home,opposition_shots_on_target_total_home,fouls_total_home,opposition_fouls_total_home,corners_total_home,opposition_corners_total_home,yellow_cards_total_home,opposition_yellow_cards_total_home,red_cards_total_home,opposition_red_cards_total_home,season_start_away,fulltime_goals_form_away,fulltime_goals_conceeded_form_away,halftime_goals_form_away,halftime_goals_conceeded_form_away,shots_form_away,opposition_shots_form_away,shots_on_target_form_away,opposition_shots_on_target_form_away,fouls_form_away,opposition_fouls_form_away,corners_form_away,opposition_corners_form_away,yellow_cards_form_away,opposition_yellow_cards_form_away,red_cards_form_away,opposition_red_cards_form_away,fulltime_goals_total_away,fulltime_goals_conceeded_total_away,halftime_goals_total_away,halftime_goals_conceeded_total_away,shots_total_away,opposition_shots_total_away,shots_on_target_total_away,opposition_shots_on_target_total_away,fouls_total_away,opposition_fouls_total_away,corners_total_away,opposition_corners_total_away,yellow_cards_total_away,opposition_yellow_cards_total_away,red_cards_total_away,opposition_red_cards_total_away,Pos_home,Pld_home,W_home,D_home,L_home,GF_home,GA_home,GD_home,Pts_home,squad_size_home,average_age_home,foreigners_home,total_market_value_home,Pos_away,Pld_away,W_away,D_away,L_away,GF_away,GA_away,GD_away,Pts_away,squad_size_away,average_age_away,foreigners_away,total_market_value_away
20,38,2021-05-22T23:00:00Z,Arsenal,Brighton,1.8571428571428572,0.5714285714285714,0.8571428571428571,0,13,9.428571428571429,4.285714285714286,2.4285714285714284,8.142857142857142,9,6.142857142857143,4.285714285714286,0.8571428571428571,1.8571428571428572,0,0.14285714285714285,53,39,26,22,443,411,147,131,335,413,197,163,47,72,5,2,20,1,0.8571428571428571,0.2857142857142857,0.2857142857142857,14.571428571428571,10.285714285714286,3.5714285714285716,3.2857142857142856,10.285714285714286,8.857142857142858,5.714285714285714,4.285714285714286,1.1428571428571428,2,0.42857142857142855,0.14285714285714285,40,44,18,19,482,342,142,122,419,366,216,156,45,52,6,2,8,38,14,14,10,56,48,8,56,26,26.4,20,494.26000000000005,15,38,9,14,15,39,54,-15,41,29,26.1,19,229.97
20,38,2021-05-22T23:00:00Z,Aston Villa,Chelsea,1.4285714285714286,1.7142857142857142,1.1428571428571428,0.8571428571428571,15.428571428571429,15,5,4.857142857142857,12.428571428571429,13.285714285714286,6.285714285714286,5.142857142857143,1.1428571428571428,1.1428571428571428,0.2857142857142857,0.14285714285714285,53,45,25,18,505,515,184,182,428,555,213,185,60,64,3,5,20,1.5714285714285714,0.5714285714285714,0.7142857142857143,0.2857142857142857,14.857142857142858,8.428571428571429,5.857142857142857,2.4285714285714284,11.142857142857142,9.571428571428571,4,3.857142857142857,1.2857142857142858,1.2857142857142858,0,0.2857142857142857,57,34,23,19,535,330,202,106,421,366,218,158,45,50,2,3,17,38,9,8,21,41,67,-26,35,24,26.7,12,341.76,4,38,20,6,12,69,54,15,66,25,27.1,20,701.75
20,38,2021-05-22T23:00:00Z,Fulham,Newcastle,0.5714285714285714,1.8571428571428572,0,0.7142857142857143,11.571428571428571,12.285714285714286,3.5714285714285716,5,13,10.714285714285714,4.285714285714286,5.142857142857143,1.7142857142857142,0.5714285714285714,0,0,27,51,12,22,428,419,136,169,472,381,159,188,65,39,3,1,20,2,1.7142857142857142,1,0.7142857142857143,11.285714285714286,18.857142857142858,4.857142857142857,5.714285714285714,9.285714285714286,9.285714285714286,3.857142857142857,7.142857142857143,1.1428571428571428,1.2857142857142858,0.14285714285714285,0.14285714285714285,44,62,17,26,387,558,138,193,382,420,157,224,61,56,3,3,24,46,11.5,6,22,32,96,8,40.5,26,27.2,19,200.72,13,38,11,11,16,38,58,-20,44,28,28.1,16,227.35999999999999
20,38,2021-05-22T23:00:00Z,Leeds,West Brom,1.7142857142857142,0.7142857142857143,0.5714285714285714,0.42857142857142855,11.142857142857142,17.714285714285715,4.571428571428571,4.714285714285714,13.285714285714286,12.142857142857142,6.428571428571429,5.857142857142857,1.8571428571428572,1.2857142857142858,0.14285714285714285,0,59,53,23,34,505,544,190,196,415,420,223,209,59,46,1,2,20,1.2857142857142858,2,0.7142857142857143,1.2857142857142858,10.714285714285714,19.571428571428573,3.2857142857142856,7.714285714285714,10.571428571428571,11.571428571428571,5.428571428571429,8.714285714285714,1.4285714285714286,0.5714285714285714,0,0,34,73,18,37,326,582,107,237,392,418,142,259,50,46,4,1,21,46,14,4.5,18,38.5,70,21,46.5,26,26.6,17,192.92,22,46,11,8.5,14,38.5,90,16,41.5,26,28.8,12,109.2
20,38,2021-05-22T23:00:00Z,Leicester,Tottenham,1.8571428571428572,1.7142857142857142,0.5714285714285714,0.8571428571428571,16,7.428571428571429,5.857142857142857,3.2857142857142856,13.142857142857142,10.428571428571429,7.285714285714286,3,1.1428571428571428,1.4285714285714286,0,0.14285714285714285,66,46,26,23,474,358,179,135,407,432,206,174,60,59,0,1,20,1.8571428571428572,1.5714285714285714,0.8571428571428571,0.8571428571428571,14.428571428571429,14.142857142857142,5.714285714285714,4.857142857142857,9.857142857142858,11.714285714285714,5.857142857142857,5.428571428571429,1.2857142857142858,1.4285714285714286,0,0,64,43,36,18,433,478,172,152,431,485,161,193,51,77,2,1,5,38,18,8,12,67,41,26,62,25,27.7,18,428.25,6,38,16,11,11,61,47,14,59,26,27.6,18,612.82
20,38,2021-05-22T23:00:00Z,Liverpool,Crystal Palace,2.142857142857143,0.8571428571428571,1,0.42857142857142855,19.857142857142858,11.142857142857142,7,4.285714285714286,11.857142857142858,9.714285714285714,7.571428571428571,5.428571428571429,0.7142857142857143,1.5714285714285714,0,0,66,42,27,20,589,328,209,140,386,347,246,121,38,54,0,2,20,1.2857142857142858,2.2857142857142856,0.5714285714285714,1,11.571428571428571,14.428571428571429,4.714285714285714,4.571428571428571,11.285714285714286,12.285714285714286,5.142857142857143,7.428571428571429,1.8571428571428572,0.8571428571428571,0,0,41,64,22,27,344,517,127,172,401,428,150,216,52,40,2,4,1,38,32,3,3,85,33,52,99,29,26.7,20,905.38,14,38,11,10,17,31,50,-19,43,29,29.4,16,182.98999999999998
20,38,2021-05-22T23:00:00Z,Man City,Everton,2,1.5714285714285714,0.8571428571428571,0.5714285714285714,16,9.428571428571429,4.428571428571429,3.857142857142857,10.571428571428571,11.857142857142858,5.857142857142857,2.5714285714285716,2,1.4285714285714286,0.2857142857142857,0.2857142857142857,78,32,41,13,583,277,208,97,353,379,240,107,44,57,2,2,20,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,13.714285714285714,11.714285714285714,4.142857142857143,2.7142857142857144,9.857142857142858,10.571428571428571,5.285714285714286,6.571428571428571,0.8571428571428571,1.8571428571428572,0,0,47,43,27,21,392,483,145,152,376,401,162,220,56,64,2,1,2,38,26,3,9,102,35,67,81,24,27.2,19,924.24,12,38,13,10,15,44,56,-12,49,24,27.2,17,418.08000000000004
20,38,2021-05-22T23:00:00Z,Sheffield United,Burnley,0.2857142857142857,1.5714285714285714,0.2857142857142857,0.5714285714285714,8.285714285714286,16.285714285714285,1.7142857142857142,6.285714285714286,10.857142857142858,7.428571428571429,3.4285714285714284,7.428571428571429,1.8571428571428572,0.7142857142857143,0,0,19,63,9,27,313,532,96,209,448,303,163,234,70,36,3,1,20,1.2857142857142858,2,1,0.5714285714285714,13.714285714285714,16.857142857142858,4.285714285714286,4.571428571428571,9.428571428571429,9.285714285714286,6,6.571428571428571,1.1428571428571428,0.8571428571428571,0,0,33,54,20,27,374,561,127,184,383,392,163,231,47,29,0,2,9,38,14,12,12,39,39,0,54,26,27.7,10,137.54,10,38,15,9,14,43,50,-7,54,22,29.5,9,117.04
20,38,2021-05-22T23:00:00Z,West Ham,Southampton,1.5714285714285714,1.4285714285714286,0.7142857142857143,0.8571428571428571,14,12.714285714285714,4,4.428571428571429,7.857142857142857,8.857142857142858,4.714285714285714,4.857142857142857,1.2857142857142858,2.142857142857143,0.2857142857142857,0,59,47,29,20,454,447,158,147,369,358,166,181,48,47,3,1,20,1.1428571428571428,1.7142857142857142,0.42857142857142855,0.5714285714285714,11.857142857142858,14.285714285714286,4.857142857142857,5.428571428571429,11.285714285714286,12.142857142857142,5.857142857142857,6.571428571428571,0.8571428571428571,1.2857142857142858,0.14285714285714285,0,47,65,28,28,406,414,161,173,417,433,175,195,49,54,3,3,16,38,10,9,19,49,62,-13,39,23,28.7,14,251.85,11,38,15,7,16,51,60,-9,52,24,26.3,11,225.36
20,38,2021-05-22T23:00:00Z,Wolves,Man United,0.7142857142857143,1.2857142857142858,0.14285714285714285,0.7142857142857143,12.714285714285714,12.714285714285714,4.571428571428571,5.142857142857143,9.857142857142858,11.142857142857142,6.571428571428571,5.428571428571429,0.8571428571428571,1.2857142857142858,0,0.2857142857142857,35,50,15,23,448,433,150,153,411,401,203,184,49,59,0,5,20,1.8571428571428572,1.4285714285714286,0.42857142857142855,0.7142857142857143,14,10.857142857142858,5.285714285714286,4.285714285714286,11.714285714285714,13.714285714285714,5.714285714285714,3.7142857142857144,1.8571428571428572,1.5714285714285714,0,0.14285714285714285,71,43,26,24,512,404,208,136,449,397,195,157,63,58,1,3,7,38,15,14,9,51,40,11,59,25,26,21,371,3,38,18,12,8,66,36,30,66,26,27.1,16,645.06
